OBJECTID,School Name,Address,Address2,City,State,Zip,County,Contact Name,Title,Phone,Email / Contact Page,Institute Type Description,Institute Sub Type Description,Record Type Description,Community Type Description,District Type Description,School District Location,Institute ID,SED Code,x,y
1,HAVEN CHARTER HIGH SCHOOL,1529 WILLIAMSBRIDGE RD,,BRONX,NY,10461,BRONX,LUCINDA MENDEZ,SCHOOL LEADER,,lucinda.mendez@havenhs.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 11,800000093170,321100861200,597187.042056024,4522197.9229427
2,OUR LADY OF THE HAMPTONS REGIONAL SCHOOL,160 N MAIN ST,,SOUTHAMPTON,NY,11968,SUFFOLK,KATHRYN SCHLUETER,PRINCIPAL,6312839140,sks@olh.org,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC ROCKVILLE CENTER DIOCESE,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS,,SOUTHAMPTON UFSD,800000036813,580906178656,719769.829757106,4530182.36090808
3,HEBREW DAY SCHOOL OF SULLIVAN & ULSTER COUNTIES,4718 STATE RT 42,,KIAMESHA LAKE,NY,12751,SULLIVAN,MENACHEM FRUCHTER,ADMINISTRATOR,8457947890,hebrewdayschool@gmail.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,MONTICELLO CSD,800000036586,591401226474,528474.754084622,4614661.75950789
4,NYSARC INC,930 RAZ AVE,,NEW WINDSOR,NY,12553,ORANGE,BETH LAUB,EXECUTIVE DIRECTOR,8455641855,blaub@arcghvny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CITIES,,NEWBURGH CITY SD,800000091383,441600996478,574532.173105712,4594327.77303562
5,TALMUD TORAH D'CHASIDEI GUR,6301 12TH AVE,,BROOKLYN,NY,11219,KINGS,ABRAHAM SCHMIDT,ADMINISTRATOR,7189233113,asttgur@gmail.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 20,800000090005,332000226331,584364.899840917,4497940.7565912
6,ALL SAINTS ELEMENTARY OF TIPPERARY HILL,112 S WILBUR AVE,,SYRACUSE,NY,13204,ONONDAGA,GRACE GLENNON,PRINCIPAL,3154223140,office@allsaintselementary.net,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - SYRACUSE DIOCESE,NON PUBLIC SCHOOL (IMF),LARGE CITIES,,SYRACUSE CITY SD,800000059835,421800185515,403901.03939996,4766831.13454707
7,MAGEN DAVID YESH-ISAAC SHALOM ELEMENTRAY SCHOOL,2130 MCDONALD AVE,,BROOKLYN,NY,11223,KINGS,EZRA COHEN-SABAN,PRINCIPAL,7189543305,rabbiezracohensaban@mdyschool.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 21,800000044053,332100226924,586900.797641183,4494955.99111827
8,MESIVTA & YESHIVA GEDOLAH OF MANHATTAN BEACH,59 W END AVE,,BROOKLYN,NY,11235,KINGS,CHAIM ZELIKOVITZ,PRINCIPAL,7183681333,mesivtamb@msn.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 21,800000044015,332100229679,588582.557161448,4492687.85071926
9,BOVL - CAYUGA THERAPEUTIC PROGRAM,1879 W GENESEE ST RD,,AUBURN,NY,13021,CAYUGA,JENNIE WEISBROD,ADMINISTRATOR,3152530361,jweisbrod@cayboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES CAYUGA-ONONDAGA,800000082395,800000082395,368110.363764487,4752906.51667981
10,REACH ACADEMY CS MS,266 GENESEE ST,,BUFFALO,NY,14204,ERIE,LINDA MARSZALEK,CEO,7168428737,lmarszalek@reachacs.org,PUBLIC SCHOOLS,SATELLITE SITE FOR CHARTER SCHOOLS,OTHER- NON IMF,,,BUFFALO CITY SD,800000093590,800000093590,184423.766493976,4756073.12842525
